Model,Training Accuracy,Testing Accuracy,Accuracy Gap,Precision,Recall,F1-Score
Baseline XGBoost,0.9226069246435845,0.7479674796747967,0.1746394449687878,0.7525773195876289,0.9125,0.8248587570621468
Improved XGBoost,0.814663951120163,0.7886178861788617,0.02604606494130124,0.7596153846153846,0.9875,0.8586956521739131
